dateRep,countriesAndTerritories
2019-12-31,Afghanistan
2020-09-03,Albania
2019-12-31,Algeria
2020-03-03,Andorra
2020-03-22,Angola
2020-03-27,Anguilla
2020-03-15,Antigua_and_Barbuda
2020-04-03,Argentina
2019-12-31,Armenia
2020-03-13,Aruba
2019-12-31,Australia
2019-12-31,Austria
2019-12-31,Azerbaijan
2020-03-16,Bahamas
2019-12-31,Bahrain
2020-09-03,Bangladesh
2020-03-18,Barbados
2019-12-31,Belarus
2019-12-31,Belgium
2020-03-24,Belize
2020-03-17,Benin
2020-03-20,Bermuda
2020-06-03,Bhutan
2020-12-03,Bolivia
2020-02-04,"Bonaire, Saint Eustatius and Saba"
2020-06-03,Bosnia_and_Herzegovina
2020-01-04,Botswana
2019-12-31,Brazil
2020-03-27,British_Virgin_Islands
2020-10-03,Brunei_Darussalam
2020-08-03,Bulgaria
2020-11-03,Burkina_Faso
2020-01-04,Burundi
2019-12-31,Cambodia
2020-07-03,Cameroon
2019-12-31,Canada
2020-03-21,Cape_Verde
2019-12-31,Cases_on_an_international_conveyance_Japan
2020-03-20,Cayman_Islands
2020-03-16,Central_African_Republic
2020-03-20,Chad
2020-04-03,Chile
2019-12-31,China
2020-07-03,Colombia
2020-02-05,Comoros
2020-03-16,Congo
2020-07-03,Costa_Rica
2020-12-03,Cote_dIvoire
2019-12-31,Croatia
2020-12-03,Cuba
2020-03-13,Cura??ao
2020-10-03,Cyprus
2019-12-31,Czechia
2020-11-03,Democratic_Republic_of_the_Congo
2019-12-31,Denmark
2020-03-19,Djibouti
2020-03-23,Dominica
2019-12-31,Dominican_Republic
2019-12-31,Ecuador
2019-12-31,Egypt
2020-03-19,El_Salvador
2020-03-15,Equatorial_Guinea
2020-03-22,Eritrea
2019-12-31,Estonia
2020-03-15,Eswatini
2020-03-14,Ethiopia
2020-04-04,Falkland_Islands_(Malvinas)
2020-06-03,Faroe_Islands
2020-03-20,Fiji
2019-12-31,Finland
2019-12-31,France
2020-03-19,French_Polynesia
2020-03-13,Gabon
2020-03-18,Gambia
2019-12-31,Georgia
2019-12-31,Germany
2020-03-13,Ghana
2020-03-20,Gibraltar
2019-12-31,Greece
2020-03-20,Greenland
2020-03-23,Grenada
2020-03-19,Guam
2020-03-15,Guatemala
2020-03-20,Guernsey
2020-03-14,Guinea
2020-03-27,Guinea_Bissau
2020-03-13,Guyana
2020-03-20,Haiti
2020-07-03,Holy_See
2020-12-03,Honduras
2020-05-03,Hungary
2019-12-31,Iceland
2019-12-31,India
2019-12-31,Indonesia
