dateRep,cases,countriesAndTerritories,cNum
31/12/2019,0,Afghanistan,
1/1/2020,0,Afghanistan,
2/1/2020,0,Afghanistan,
3/1/2020,0,Afghanistan,
4/1/2020,0,Afghanistan,
5/1/2020,0,Afghanistan,
6/1/2020,0,Afghanistan,
7/1/2020,0,Afghanistan,
8/1/2020,0,Afghanistan,
9/1/2020,0,Afghanistan,
10/1/2020,0,Afghanistan,
11/1/2020,0,Afghanistan,
12/1/2020,0,Afghanistan,
13/01/2020,0,Afghanistan,0
14/01/2020,0,Afghanistan,0
15/01/2020,0,Afghanistan,0
16/01/2020,0,Afghanistan,0
17/01/2020,0,Afghanistan,0
18/01/2020,0,Afghanistan,0
19/01/2020,0,Afghanistan,0
20/01/2020,0,Afghanistan,0
21/01/2020,0,Afghanistan,0
22/01/2020,0,Afghanistan,0
23/01/2020,0,Afghanistan,0
24/01/2020,0,Afghanistan,0
25/01/2020,0,Afghanistan,0
26/01/2020,0,Afghanistan,0
27/01/2020,0,Afghanistan,0
28/01/2020,0,Afghanistan,0
29/01/2020,0,Afghanistan,0
30/01/2020,0,Afghanistan,0
31/01/2020,0,Afghanistan,0
1/2/2020,0,Afghanistan,0
2/2/2020,0,Afghanistan,0
3/2/2020,0,Afghanistan,0
4/2/2020,0,Afghanistan,0
5/2/2020,0,Afghanistan,0
6/2/2020,0,Afghanistan,0
7/2/2020,0,Afghanistan,0
8/2/2020,0,Afghanistan,0
9/2/2020,0,Afghanistan,0
10/2/2020,0,Afghanistan,0
11/2/2020,0,Afghanistan,0
12/2/2020,0,Afghanistan,0
13/02/2020,0,Afghanistan,0
14/02/2020,0,Afghanistan,0
15/02/2020,0,Afghanistan,0
16/02/2020,0,Afghanistan,0
17/02/2020,0,Afghanistan,0
18/02/2020,0,Afghanistan,0
19/02/2020,0,Afghanistan,0
20/02/2020,0,Afghanistan,0
21/02/2020,0,Afghanistan,0
22/02/2020,0,Afghanistan,0
23/02/2020,0,Afghanistan,0
24/02/2020,0,Afghanistan,0
25/02/2020,1,Afghanistan,0.00262869
26/02/2020,0,Afghanistan,0.00262869
27/02/2020,0,Afghanistan,0.00262869
28/02/2020,0,Afghanistan,0.00262869
29/02/2020,0,Afghanistan,0.00262869
1/3/2020,0,Afghanistan,0.00262869
2/3/2020,0,Afghanistan,0.00262869
8/3/2020,3,Afghanistan,0.01051476
11/3/2020,3,Afghanistan,0.01840083
15/03/2020,3,Afghanistan,0.0262869
16/03/2020,6,Afghanistan,0.04205905
17/03/2020,5,Afghanistan,0.0552025
18/03/2020,1,Afghanistan,0.05783119
19/03/2020,0,Afghanistan,0.05783119
20/03/2020,0,Afghanistan,0.0552025
21/03/2020,2,Afghanistan,0.06045988
22/03/2020,0,Afghanistan,0.06045988
23/03/2020,10,Afghanistan,0.08674678
24/03/2020,6,Afghanistan,0.10251892
25/03/2020,2,Afghanistan,0.1077763
26/03/2020,33,Afghanistan,0.19452309
27/03/2020,0,Afghanistan,0.18663702
28/03/2020,16,Afghanistan,0.22080999
29/03/2020,15,Afghanistan,0.25235427
30/03/2020,8,Afghanistan,0.25761166
31/03/2020,27,Afghanistan,0.31544284
1/4/2020,25,Afghanistan,0.37853141
2/4/2020,26,Afghanistan,0.44687736
3/4/2020,43,Afghanistan,0.55991105
4/4/2020,0,Afghanistan,0.55465367
5/4/2020,35,Afghanistan,0.64665783
6/4/2020,29,Afghanistan,0.69660295
7/4/2020,38,Afghanistan,0.78072104
8/4/2020,30,Afghanistan,0.85432437
9/4/2020,56,Afghanistan,0.91478425
10/4/2020,61,Afghanistan,1.07513436
11/4/2020,37,Afghanistan,1.13033686
12/4/2020,34,Afghanistan,1.18028197
13/04/2020,52,Afghanistan,1.29594435
14/04/2020,58,Afghanistan,1.37743375
15/04/2020,49,Afghanistan,1.44052232
16/04/2020,70,Afghanistan,1.55618469
17/04/2020,10,Afghanistan,1.46943791
18/04/2020,51,Afghanistan,1.60350112
19/04/2020,63,Afghanistan,1.67710445
20/04/2020,88,Afghanistan,1.83219718
21/04/2020,35,Afghanistan,1.82431111
22/04/2020,61,Afghanistan,1.90580051
23/04/2020,84,Afghanistan,1.97940384
24/04/2020,105,Afghanistan,2.09506622
25/04/2020,70,Afghanistan,2.181813
26/04/2020,112,Afghanistan,2.38685085
27/04/2020,68,Afghanistan,2.42890989
28/04/2020,172,Afghanistan,2.7285806
29/04/2020,124,Afghanistan,2.92573237
30/04/2020,122,Afghanistan,3.06242427
1/5/2020,222,Afghanistan,3.61970663
2/5/2020,164,Afghanistan,3.91674864
3/5/2020,134,Afghanistan,4.10338566
4/5/2020,235,Afghanistan,4.48980314
5/5/2020,190,Afghanistan,4.89725015
6/5/2020,330,Afghanistan,5.60436785
7/5/2020,168,Afghanistan,5.82517784
8/5/2020,171,Afghanistan,5.99867141
9/5/2020,215,Afghanistan,6.37983151
10/5/2020,255,Afghanistan,6.75573423
11/5/2020,369,Afghanistan,7.54697003
12/5/2020,285,Afghanistan,7.84401204
13/05/2020,280,Afghanistan,8.25408774
14/05/2020,259,Afghanistan,8.61421832
15/05/2020,113,Afghanistan,8.32769107
16/05/2020,1063,Afghanistan,10.6908837
17/05/2020,0,Afghanistan,10.3386392
18/05/2020,262,Afghanistan,10.40961384
19/05/2020,408,Afghanistan,10.98266833
20/05/2020,581,Afghanistan,11.64246962
21/05/2020,492,Afghanistan,12.49416529
22/05/2020,531,Afghanistan,13.44049382
23/05/2020,540,Afghanistan,14.29481819
24/05/2020,782,Afghanistan,15.68013801
25/05/2020,584,Afghanistan,16.24530644
26/05/2020,591,Afghanistan,17.04968569
27/05/2020,658,Afghanistan,18.04333065
28/05/2020,625,Afghanistan,19.00543132
29/05/2020,580,Afghanistan,20.23302972
30/05/2020,623,Afghanistan,19.07640596
31/05/2020,866,Afghanistan,21.35285181
1/6/2020,680,Afghanistan,22.45164439
2/6/2020,545,Afghanistan,22.81177497
3/6/2020,759,Afghanistan,23.27968185
4/6/2020,758,Afghanistan,23.97891349
5/6/2020,787,Afghanistan,24.65185822
6/6/2020,915,Afghanistan,25.63761711
7/6/2020,582,Afghanistan,25.11187903
8/6/2020,791,Afghanistan,25.65601794
9/6/2020,575,Afghanistan,25.61395889
10/6/2020,542,Afghanistan,25.30903081
11/6/2020,684,Afghanistan,25.46412354
12/6/2020,747,Afghanistan,25.90311483
13/06/2020,656,Afghanistan,25.98986161
14/06/2020,556,Afghanistan,25.1749676
15/06/2020,664,Afghanistan,25.13290856
16/06/2020,761,Afghanistan,25.70070567
17/06/2020,783,Afghanistan,25.76379424
18/06/2020,564,Afghanistan,25.25382831
19/06/2020,658,Afghanistan,24.91472726
20/06/2020,346,Afghanistan,23.41900244
21/06/2020,546,Afghanistan,23.32436959
22/06/2020,409,Afghanistan,22.32020987
23/06/2020,310,Afghanistan,21.62360692
24/06/2020,338,Afghanistan,21.08735409
25/06/2020,234,Afghanistan,19.90444343
26/06/2020,460,Afghanistan,19.15000929
27/06/2020,276,Afghanistan,18.15110695
28/06/2020,165,Afghanistan,17.12328902
29/06/2020,351,Afghanistan,16.30050894
30/06/2020,271,Afghanistan,15.01245066
1/7/2020,279,Afghanistan,13.68759072
2/7/2020,319,Afghanistan,13.04356158
3/7/2020,186,Afghanistan,11.80281973
4/7/2020,302,Afghanistan,11.68715735
5/7/2020,348,Afghanistan,11.16667666
6/7/2020,279,Afghanistan,10.82494691
7/7/2020,433,Afghanistan,11.14827583
8/7/2020,210,Afghanistan,10.81180346
9/7/2020,59,Afghanistan,10.35178265
10/7/2020,255,Afghanistan,9.81290112
11/7/2020,458,Afghanistan,10.29132277
12/7/2020,85,Afghanistan,10.08102754
13/07/2020,0,Afghanistan,9.15835722
14/07/2020,4,Afghanistan,8.4564969
15/07/2020,285,Afghanistan,8.47226904
16/07/2020,254,Afghanistan,8.30140416
17/07/2020,76,Afghanistan,8.01224823
18/07/2020,219,Afghanistan,7.79406692
19/07/2020,12,Afghanistan,6.91082696
20/07/2020,174,Afghanistan,6.63481448
21/07/2020,140,Afghanistan,5.8646082
22/07/2020,112,Afghanistan,5.60699654
23/07/2020,188,Afghanistan,5.9460976
24/07/2020,13,Afghanistan,5.30995453
25/07/2020,108,Afghanistan,4.38991291
26/07/2020,121,Afghanistan,4.48454576
27/07/2020,106,Afghanistan,4.76318694
28/07/2020,105,Afghanistan,5.02868466
29/07/2020,103,Afghanistan,4.55026302
30/07/2020,0,Afghanistan,3.88257567
31/07/2020,71,Afghanistan,3.86943221
1/8/2020,168,Afghanistan,3.73536901
2/8/2020,0,Afghanistan,3.70382472
3/8/2020,0,Afghanistan,3.2464326
4/8/2020,37,Afghanistan,2.97567749
5/8/2020,82,Afghanistan,2.89681678
6/8/2020,67,Afghanistan,2.57874525
7/8/2020,41,Afghanistan,2.65234858
8/8/2020,78,Afghanistan,2.57348786
9/8/2020,39,Afghanistan,2.35793526
10/8/2020,0,Afghanistan,2.07929408
11/8/2020,0,Afghanistan,1.80328159
12/8/2020,215,Afghanistan,2.09769491
13/08/2020,76,Afghanistan,2.29747538
14/08/2020,79,Afghanistan,2.3185049
15/08/2020,7,Afghanistan,1.89528575
16/08/2020,120,Afghanistan,2.21072859
17/08/2020,45,Afghanistan,2.32901966
18/08/2020,3,Afghanistan,2.23964419
19/08/2020,0,Afghanistan,2.02409158
20/08/2020,160,Afghanistan,2.26855978
21/08/2020,97,Afghanistan,2.41576644
22/08/2020,38,Afghanistan,2.31061883
23/08/2020,105,Afghanistan,2.48411239
24/08/2020,0,Afghanistan,2.48411239
25/08/2020,71,Afghanistan,2.67074941
26/08/2020,1,Afghanistan,2.10820967
27/08/2020,55,Afghanistan,2.05300717
28/08/2020,3,Afghanistan,1.85322671
29/08/2020,11,Afghanistan,1.86374147
30/08/2020,3,Afghanistan,1.55618469
31/08/2020,19,Afghanistan,1.48783875
1/9/2020,34,Afghanistan,1.56932815
2/9/2020,9,Afghanistan,1.59298636
3/9/2020,38,Afghanistan,1.27228614
4/9/2020,45,Afghanistan,1.13559424
5/9/2020,16,Afghanistan,1.07776305
6/9/2020,20,Afghanistan,0.85432437
7/9/2020,74,Afghanistan,1.04884745
8/9/2020,96,Afghanistan,1.11456471
9/9/2020,26,Afghanistan,1.18028197
10/9/2020,24,Afghanistan,1.09879257
11/9/2020,28,Afghanistan,1.16450983
12/9/2020,34,Afghanistan,1.22496971
13/09/2020,35,Afghanistan,1.3090878
14/09/2020,75,Afghanistan,1.45629446
15/09/2020,99,Afghanistan,1.62715933
16/09/2020,40,Afghanistan,1.70864874
17/09/2020,17,Afghanistan,1.65344624
18/09/2020,0,Afghanistan,1.53515517
19/09/2020,47,Afghanistan,1.61664457
20/09/2020,125,Afghanistan,1.89265706
21/09/2020,0,Afghanistan,1.69813397
22/09/2020,30,Afghanistan,1.52464041
23/09/2020,71,Afghanistan,1.64293148
24/09/2020,25,Afghanistan,1.64556017
25/09/2020,16,Afghanistan,1.61401588
26/09/2020,6,Afghanistan,1.54041255
27/09/2020,35,Afghanistan,1.54041255
28/09/2020,0,Afghanistan,1.34326078
29/09/2020,12,Afghanistan,1.11456471
30/09/2020,15,Afghanistan,1.04884745
1/10/2020,14,Afghanistan,1.04096138
2/10/2020,17,Afghanistan,1.08564912
3/10/2020,5,Afghanistan,0.97524412
4/10/2020,7,Afghanistan,0.66505866
5/10/2020,44,Afghanistan,0.78072104
6/10/2020,145,Afghanistan,1.08302043
7/10/2020,62,Afghanistan,1.05936222
8/10/2020,68,Afghanistan,1.1723959
9/10/2020,77,Afghanistan,1.33274601
10/10/2020,10,Afghanistan,1.34326078
11/10/2020,0,Afghanistan,1.25125661
12/10/2020,96,Afghanistan,1.50361089
13/10/2020,129,Afghanistan,1.81116766
14/10/2020,66,Afghanistan,1.94523087
15/10/2020,32,Afghanistan,1.99254729
16/10/2020,0,Afghanistan,1.94785956
17/10/2020,47,Afghanistan,2.05826455
18/10/2020,68,Afghanistan,2.21861467
19/10/2020,59,Afghanistan,2.25804502
20/10/2020,87,Afghanistan,2.10558098
21/10/2020,88,Afghanistan,2.17392693
22/10/2020,135,Afghanistan,2.35004918
23/10/2020,116,Afghanistan,2.45256811
24/10/2020,61,Afghanistan,2.58663132
25/10/2020,81,Afghanistan,2.79955524
26/10/2020,65,Afghanistan,2.71806583
27/10/2020,199,Afghanistan,2.90207416
28/10/2020,113,Afghanistan,3.02562261
29/10/2020,0,Afghanistan,2.94150452
30/10/2020,123,Afghanistan,3.26483343
31/10/2020,157,Afghanistan,3.55398937
1/11/2020,76,Afghanistan,3.57501889
2/11/2020,132,Afghanistan,3.76691329
3/11/2020,95,Afghanistan,3.78794281
4/11/2020,86,Afghanistan,3.78268543
5/11/2020,121,Afghanistan,3.74588377
6/11/2020,40,Afghanistan,3.5461033
7/11/2020,58,Afghanistan,3.53821723
8/11/2020,126,Afghanistan,3.65650829
9/11/2020,80,Afghanistan,3.69593865
10/11/2020,224,Afghanistan,3.76165591
11/11/2020,0,Afghanistan,3.4646139
12/11/2020,146,Afghanistan,3.84840269
13/11/2020,360,Afghanistan,4.47140231
14/11/2020,66,Afghanistan,4.23219148
15/11/2020,205,Afghanistan,4.57129254
16/11/2020,163,Afghanistan,4.65278194
17/11/2020,65,Afghanistan,4.57392123
18/11/2020,383,Afghanistan,5.35464227
19/11/2020,0,Afghanistan,5.03657073
20/11/2020,282,Afghanistan,5.6727138
21/11/2020,232,Afghanistan,6.13010593
22/11/2020,154,Afghanistan,6.20370926
23/11/2020,252,Afghanistan,6.655844
24/11/2020,246,Afghanistan,6.71367519
25/11/2020,185,Afghanistan,7.1999829
26/11/2020,200,Afghanistan,7.34193218
27/11/2020,0,Afghanistan,6.39560365
28/11/2020,214,Afghanistan,6.78464983
29/11/2020,228,Afghanistan,6.8451097
30/11/2020,0,Afghanistan,6.41663317
1/12/2020,272,Afghanistan,6.96077208
2/12/2020,400,Afghanistan,7.00545982
3/12/2020,202,Afghanistan,7.53645527
4/12/2020,119,Afghanistan,7.10797874
5/12/2020,235,Afghanistan,7.11586481
6/12/2020,234,Afghanistan,7.32616004
7/12/2020,210,Afghanistan,7.21575505
8/12/2020,200,Afghanistan,7.09483529
9/12/2020,135,Afghanistan,6.96340077
10/12/2020,202,Afghanistan,6.96865815
11/12/2020,63,Afghanistan,7.13426564
12/12/2020,113,Afghanistan,6.86876792
13/12/2020,298,Afghanistan,7.05277624
14/12/2020,746,Afghanistan,9.01377925
9/3/2020,2,Albania,
10/3/2020,4,Albania,
11/3/2020,4,Albania,
12/3/2020,1,Albania,
13/03/2020,12,Albania,
14/03/2020,10,Albania,
15/03/2020,5,Albania,
16/03/2020,4,Albania,
17/03/2020,9,Albania,
18/03/2020,4,Albania,
19/03/2020,4,Albania,
20/03/2020,11,Albania,
21/03/2020,0,Albania,
22/03/2020,6,Albania,2.65508954
23/03/2020,13,Albania,3.03937882
